timestamp,fps,cpu_temp,spi_latency_ms,p1_lives,p2_lives,error
13:29:30:247,29.4,N/A,0.22,3,3,None
13:29:30:280,29.4,N/A,0.02,3,3,None
13:29:30:314,29.4,N/A,0.01,3,3,None
13:29:30:348,29.4,N/A,0.02,3,3,None
13:29:30:381,29.6,N/A,0.01,3,3,None
13:29:30:415,29.6,N/A,0.02,3,3,None
13:29:30:449,29.6,N/A,0.01,3,3,None
13:29:30:482,29.6,N/A,0.03,3,3,None
13:29:30:516,29.6,N/A,0.01,3,3,None
13:29:30:549,29.6,N/A,0.01,3,3,None
13:29:30:584,29.6,N/A,0.01,3,3,None
13:29:30:618,29.6,N/A,0.01,3,3,None
13:29:30:651,29.6,N/A,0.01,3,3,None
13:29:30:686,29.6,N/A,0.03,3,3,None
13:29:30:719,29.6,N/A,0.01,3,3,None
13:29:30:753,29.6,N/A,0.01,3,3,None
13:29:30:787,29.6,N/A,0.01,3,3,None
13:29:30:821,29.6,N/A,0.01,3,3,None
13:29:30:855,29.6,N/A,0.00,3,3,None
13:29:30:888,29.6,N/A,0.01,3,3,None
13:29:30:923,29.6,N/A,0.01,3,3,None
13:29:30:957,29.6,N/A,0.01,3,3,None
13:29:30:990,29.6,N/A,0.01,3,3,None
13:29:31:024,29.6,N/A,0.01,3,3,None
13:29:31:058,29.5,N/A,0.01,3,3,None
13:29:31:092,29.5,N/A,0.01,3,3,None
13:29:31:127,29.5,N/A,0.01,3,3,None
13:29:31:161,29.5,N/A,0.01,3,3,None
13:29:31:227,29.5,N/A,0.00,3,3,None
13:29:31:229,29.5,N/A,0.00,3,3,None
13:29:31:263,29.5,N/A,0.00,3,3,None
13:29:31:297,29.5,N/A,0.00,3,3,None
13:29:31:331,29.5,N/A,0.00,3,3,None
13:29:31:365,29.5,N/A,0.00,3,3,None
13:29:31:399,29.3,N/A,0.00,3,3,None
13:29:31:433,29.3,N/A,0.00,3,3,None
13:29:31:467,29.3,N/A,0.01,3,3,None
13:29:31:500,29.3,N/A,0.01,3,3,None
13:29:31:534,29.3,N/A,0.01,3,3,None
13:29:31:570,29.3,N/A,0.01,3,3,None
13:29:31:602,29.3,N/A,0.01,3,3,None
13:29:31:636,29.3,N/A,0.01,3,3,None
